symbol,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,navigable,evidenceSources,theme_id
OII,industrial,industrial_diversification,US6752321025,OCEANEERING INTL INC,58,"Ofrece productos y servicios de ingeniería que sirven a una amplia gama de aplicaciones industriales, apoyando la flexibilidad operativa y la expansión en diversos sectores.","El enfoque de OII en la diversificación industrial es evidente en su cambio estratégico hacia nuevas áreas de crecimiento. La empresa está diversificando activamente su negocio más allá del sector energético, con un enfoque en soluciones de movilidad, gestión de activos digitales y una mayor participación en los sectores de defensa y aeroespacial. Esta diversificación también incluye ayudar a los clientes a reducir las emisiones de carbono y expandirse a mercados emergentes de energía y no energía, impulsada por la creciente demanda de fuentes de energía más limpias y las preocupaciones sobre el cambio climático.",10780,USD,SMART,STK,True,"[{'name': 'oii-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/oii-FY24-10-K.html'}]",IN2
COHR,industrial,industrial_diversification,US19247G1076,COHERENT CORP,59,Sus actividades contribuyen al panorama más amplio de la diversificación industrial.,"La participación de Coherent en la diversificación industrial se demuestra a través de la optimización estratégica de su cartera, que incluye la salida de líneas de productos no esenciales como dispositivos y módulos de carburo de silicio, y la optimización de su base de activos mediante la venta de instalaciones de producción infrautilizadas. La empresa está reenfocando su negocio de carburo de silicio en la producción de sustratos y epitaxia, donde tiene tecnología diferenciada. Como empresa de fabricación verticalmente integrada, Coherent desarrolla y comercializa materiales de ingeniería, componentes optoelectrónicos, dispositivos y láseres para los mercados industrial, de comunicaciones, de electrónica e de instrumentación.",584127832,USD,SMART,STK,True,"[{'name': 'cohr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cohr-Q225-10-Q.html'}]",IN2
UFPI,industrial,industrial_diversification,US90278Q1085,UFP INDUSTRIES INC,60,"Mantiene una amplia cartera de productos y servicios industriales en diversos sectores, lo que permite la resiliencia y el crecimiento a través de la participación en mercados diversos.",,420845068,USD,SMART,STK,True,,IN2
UFPT,industrial,industrial_diversification,US9026731029,UFP TECHNOLOGIES INC,61,Contribuye a la diversificación industrial al servir a una amplia gama de mercados industriales con productos y servicios especializados.,"UFPT demuestra diversificación industrial a través de su presencia tanto en mercados médicos como no médicos, con una parte de sus ventas derivada del sector no médico. La estrategia de la empresa implica crecimiento orgánico y crecimiento a través de adquisiciones estratégicas, incluidas posibles adquisiciones de negocios, tecnologías o productos complementarios. El acuerdo de crédito de UFPT se utiliza para financiar adquisiciones, lo que indica aún más un énfasis estratégico en la diversificación.",6746220,USD,SMART,STK,True,"[{'name': 'ufpt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ufpt-Q125-10-Q.html'}, {'name': 'ufpt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ufpt-Q324-10-Q.html'}]",IN2
FMC,industrial,industrial_diversification,US3024913036,FMC CORP,62,"Ofrece una cartera diversa de productos y soluciones químicas especializadas, lo que permite a diversos sectores industriales satisfacer sus necesidades operativas específicas.",,7238,USD,SMART,STK,True,,IN2
HI,industrial,industrial_diversification,US4315711089,HILLENBRAND INC,63,Sus operaciones se caracterizan por la diversificación en varios segmentos industriales.,"Hillenbrand se encuentra en una transformación estratégica para centrarse en sectores de mayor margen y mayor crecimiento, lo que se demuestra con la desinversión de su segmento de servicios funerarios y adquisiciones estratégicas destinadas a escalar su presencia en los mercados de alimentos, salud y nutrición. Esta transformación se evidencia además en el acuerdo para vender una participación mayoritaria en el negocio de moldeo por inyección y extrusión de Milacron, lo que refleja una remodelación de su cartera hacia el liderazgo industrial y los sistemas de procesamiento de ingeniería.",49634250,USD,SMART,STK,True,,IN2
RBC,industrial,industrial_diversification,US75524B1044,RBC BEARINGS INC,64,Contribuye a la diversificación industrial al proporcionar una amplia gama de rodamientos de precisión e componentes altamente diseñados para diversas aplicaciones industriales y aeroespaciales.,"El enfoque de RBC para la diversificación industrial implica un crecimiento orgánico a través de la innovación de productos y el desarrollo de mercados, identificando oportunidades en diversos sectores como motores de aeronaves, espacio y marina. Esta estrategia tiene como objetivo ampliar los mercados finales, la base de clientes y el alcance geográfico, al tiempo que mitiga la ciclicidad al diversificarse en múltiples segmentos de mercado dentro de los sectores Aeroespacial/Defensa e Industrial. La empresa también establece relaciones de proveedor único y exclusivo y acuerdos de compra a largo plazo para mitigar aún más la ciclicidad.",35419704,USD,SMART,STK,True,"[{'name': 'rbc-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rbc-Q325-10-Q.html'}]",IN2
OLN,industrial,industrial_diversification,US6806652052,OLIN CORP,65,"Opera en múltiples sectores industriales, incluidos productos químicos y municiones, para aprovechar diversas oportunidades de mercado y mitigar riesgos específicos del sector.",,10799,USD,SMART,STK,True,,IN2
SNA,industrial,industrial_diversification,US8330341012,SNAP-ON INC,66,Contribuye a la Diversificación Industrial al suministrar una amplia cartera de herramientas y equipos utilizados en un amplio espectro de aplicaciones industriales.,,12259,USD,SMART,STK,True,,IN2
CF,industrial,industrial_diversification,US1252691001,CF INDUSTRIES HOLDINGS INC,67,"Aprovecha sus capacidades de producción de nitrógeno e hidrógeno para servir a una amplia gama de aplicaciones industriales, contribuyendo a la diversificación dentro del sector industrial.",,35447205,USD,SMART,STK,True,,IN2
FIX,industrial,industrial_diversification,US1999081045,COMFORT SYSTEMS USA INC,68,Se dedica a la diversificación industrial.,,6607708,USD,SMART,STK,True,,IN2
DCI,industrial,industrial_diversification,US2576511099,DONALDSON CO INC,69,Proporciona soluciones de filtración esenciales que atienden a una amplia gama de aplicaciones y sectores industriales.,"Donaldson Company es un líder mundial en productos y soluciones de filtración basados en tecnología, que presta servicios a una amplia gama de industrias y mercados avanzados a través de sus segmentos de Soluciones Móviles, Soluciones Industriales y Ciencias de la Vida. La compañía declara explícitamente que su diversificación en diversas industrias y mercados ayuda a mitigar riesgos. Esta estrategia de diversificación, que incluye clientes de tecnología y fabricantes de equipos originales (OEM) y piezas de repuesto, limita el impacto de la debilidad en cualquier línea de productos, mercado o geografía en los resultados operativos consolidados de la empresa.",6353,USD,SMART,STK,True,"[{'name': 'dci-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dci-Q125-10-Q.html'}, {'name': 'dci-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dci-FY24-10-K.html'}]",IN2
GVA,industrial,industrial_diversification,US3873281071,GRANITE CONSTRUCTION INC,70,Contribuye a la diversificación industrial al proporcionar servicios de construcción e infraestructura en diversos sectores industriales.,,2743636,USD,SMART,STK,True,,IN2
LKQ,industrial,industrial_diversification,US5018892084,LKQ CORP,71,Implica la expansión de sus operaciones comerciales y ofertas de productos en varios sectores industriales.,,26345312,USD,SMART,STK,True,,IN2
BLD,industrial,industrial_diversification,US89055F1030,TOPBUILD CORP,72,"Se dedica a la instalación y distribución de productos de aislamiento y construcción en diversos mercados finales, contribuyendo a la diversificación industrial dentro del sector de la construcción y materiales de construcción.",,196616907,USD,SMART,STK,True,,IN2
TKR,industrial,industrial_diversification,US8873891043,TIMKEN CO,73,Se dedica a servir a un amplio espectro de mercados industriales a través de una cartera diversa de rodamientos de ingeniería y productos de transmisión de potencia.,,12826,USD,SMART,STK,True,,IN2
BHE,industrial,industrial_diversification,US08160H1014,BENCHMARK ELECTRONICS INC,74,"Proporciona una amplia gama de servicios y soluciones de fabricación de productos electrónicos, apoyando las diversas necesidades de los clientes en varios sectores industriales.",,3141362,USD,SMART,STK,True,,IN2
ROG,industrial,industrial_diversification,US7751331015,ROGERS CORP,75,Contribuye a la diversificación industrial al proporcionar materiales y componentes especializados esenciales para una amplia gama de aplicaciones industriales.,,756433,USD,SMART,STK,True,,IN2
